time;open;high;low;close
"2020-03-30 05:00:00";5925.53848884;7088.24732438;5903.23434726;6791.12944093
"2020-04-06 05:00:00";6788.04980287;7427.93933989;6782.88974461;6971.09159108
"2020-04-13 05:00:00";6965.61663772;7280.52178187;6555.50427487;7189.42482356
"2020-04-20 05:00:00";7186.8737411;7700.59429483;6834.44232463;7679.86720422
"2020-04-27 05:00:00";7679.41895085;9440.65067326;7679.41895085;8897.46850985
"2020-05-04 05:00:00";8895.74487399;9996.74335304;8395.10745112;8756.43114193
"2020-05-11 05:00:00";8755.5356389;9823.0022878;8374.32297508;9670.73937122
"2020-05-18 05:00:00";9675.69498013;9906.03020325;8787.251002;8790.36800074
"2020-05-25 05:00:00";8786.10769511;9704.03030928;8719.66836224;9461.05891806
"2020-06-01 05:00:00";9463.6056622;10199.5649719;9450.89911148;9758.8524174
"2020-06-08 05:00:00";9760.0632524;9938.29767389;9263.06958826;9386.78789214
"2020-06-15 05:00:00";9386.03529073;9579.43037458;8990.1759467;9303.62971409
"2020-06-22 05:00:00";9300.91545819;9680.36714624;8975.52585473;9143.58219104
"2020-06-29 05:00:00";9140.02907078;9309.75486362;8977.01563525;9073.94286936
"2020-07-06 05:00:00";9072.85007426;9450.33567174;9058.6644583;9276.49985018
"2020-07-13 05:00:00";9277.2046601;9306.40492983;9088.94740241;9185.81691242
"2020-07-20 05:00:00";9187.22037014;10023.807661;9137.50962153;9905.16724705
"2020-07-27 05:00:00";9905.21791377;12034.1441504;9903.97011125;11053.613901
"2020-08-03 05:00:00";11043.7688847;11902.3359717;11012.4147398;11675.7393433
"2020-08-10 05:00:00";11382.78588591;11947.0089222;11318.02142013;11898.2756619
"2020-08-17 05:00:00";11898.20571733;12345.22808761;11464.27133393;11677.92579602
"2020-08-24 05:00:00";11675.7267169;13149.69444935;104.61895563;11458.31013941
"2020-08-31 05:00:00";11480.16090511;12059.87014159;9942.52986667;10272.44418079
"2020-09-07 05:00:00";10272.75835636;10554.37038471;9901.90575533;10335.15935596
"2020-09-14 05:00:00";10344.13900609;11145.91748214;10284.28270867;10933.64151956
"2020-09-21 05:00:00";10936.01947486;10991.11012337;10197.86492469;10775.26937624
"2020-09-28 05:00:00";10776.6136391;10945.34790707;10416.68920469;10669.58254327
"2020-10-05 05:00:00";10676.52895637;11442.2111099;10528.890831;11384.1819535
"2020-10-12 05:00:00";11392.63621516;11698.4677363;11223.01278163;11483.35971184
"2020-10-19 05:00:00";11495.03793859;13329.18403245;11408.29011785;13031.17431056
"2020-10-26 05:00:00";13031.20124688;14028.21429317;12822.38232695;13737.10982864
"2020-11-02 05:00:00";13737.03221087;15903.43797604;13243.159866;15479.56703842
"2020-11-09 05:00:00";15479.59572319;16463.17783998;14865.52927664;15955.58743887
"2020-11-16 05:00:00";15955.57698439;18936.62068806;15880.7056812;18370.00252365
"2020-11-23 05:00:00";18370.01733874;19390.96555566;16351.03485441;18177.48341979
"2020-11-30 05:00:00";18178.32211783;19845.97548328;18178.32211783;19345.12095871
"2020-12-07 05:00:00";19343.12879819;19411.82767631;17619.53238938;19142.3825335
"2020-12-14 05:00:00";19144.49245994;24209.65988828;19012.70940762;23477.29519711
"2020-12-21 05:00:00";23474.45540815;28288.84002225;22159.36806298;26272.29456706
"2020-12-28 05:00:00";26280.82141511;34608.55673797;25987.29807483;32782.02446581
"2021-01-04 05:00:00";32810.94764381;41946.73935079;28722.75527058;38356.43950662
"2021-01-11 05:00:00";38346.52950301;39966.40524241;30549.59876946;35791.27792129
"2021-01-18 05:00:00";35792.23666766;37755.89185872;28953.372751;32289.37808687
"2021-01-25 05:00:00";32285.79891345;38406.26096472;29367.13921776;33114.35774753
"2021-02-01 05:00:00";33114.57724298;40846.54690329;32384.22810648;38903.44147971
"2021-02-08 05:00:00";38886.82728995;49487.64087275;38076.32280719;48717.2902111
"2021-02-15 05:00:00";48696.53665993;58330.57214185;46347.47709171;57539.9436679
"2021-02-22 05:00:00";57532.73886407;57533.38932549;43241.61822653;45137.77046805
"2021-03-01 05:00:00";45159.50305253;52535.1357839;45115.09311478;51206.69295308
"2021-03-08 05:00:00";51174.1169466;61683.86401412;49506.05345768;59302.31697742
"2021-03-15 05:00:00";59267.4290492;60540.99271158;53555.02773503;57523.42098673
"2021-03-22 05:00:00";57517.89148833;58471.47864713;50856.5686854;55950.7457745
"2021-03-29 05:00:00";55947.8989665;60267.18765009;55139.34175909;58758.55629127
"2021-04-05 05:00:00";58760.87326121;61276.66536564;55604.02359245;60204.96491379
"2021-04-12 05:00:00";60175.94475711;64863.0989077;52829.53592647;56216.18500243
"2021-04-19 05:00:00";56191.5841095;57520.05477733;47159.48584083;49004.25326318
"2021-04-26 05:00:00";49077.79236302;58448.33881062;48852.79684295;56631.07741255
"2021-05-03 05:00:00";56620.27262011;59464.61249257;52969.05536281;58232.3161419
"2021-05-10 05:00:00";58250.87253094;59519.35442559;43963.35018635;46456.05847448
"2021-05-17 05:00:00";46415.89925412;46623.55822816;30681.49691178;34770.58362292
"2021-05-24 05:00:00";34700.363568;40782.07818311;33520.73795924;35678.12920411
"2021-05-31 05:00:00";35658.59295707;39478.95118167;34241.94356094;35862.37772747
"2021-06-07 05:00:00";35835.26550975;39322.78021188;31114.44247046;39097.86089667
"2021-06-14 05:00:00";39016.9701778;41295.26857449;33432.07604413;35698.29644336
"2021-06-21 05:00:00";35641.14606474;35721.63963385;28893.62165844;34649.64458753
"2021-06-28 05:00:00";34679.12222205;36542.11101765;32770.68078046;35287.77976616
"2021-07-05 05:00:00";35284.34443007;35284.34443007;32133.18272686;34240.18701074
"2021-07-12 05:00:00";34254.01659458;34592.15560419;31100.67337243;31796.81013825
"2021-07-19 05:00:00";31800.01263521;35364.92558378;29360.95583827;35350.18697353
"2021-07-26 05:00:00";35384.02988451;42541.67948122;35287.3117098;39974.89602594
"2021-08-02 05:00:00";39907.2628498;45282.35328436;37458.00399335;43798.11767796
"2021-08-09 05:00:00";43791.92742356;48098.68409454;42848.68794765;47047.00454195
"2021-08-16 05:00:00";47019.96132369;49717.0189234;43998.31551257;49321.65404941
"2021-08-23 05:00:00";49291.67737487;50482.07640834;46394.28309076;48829.8326
"2021-08-30 05:00:00";48834.85267752;51868.68163043;46562.43744881;51753.41192621
"2021-09-06 05:00:00";51769.00432067;52853.7637963;43285.20858869;46063.27035709
"2021-09-13 05:00:00";46057.21532739;48791.7793722232;43591.3207849088;47260.2173314677
"2021-09-20 05:00:00";47261.4064989217;47328.1988417819;39787.6097979604;43208.5391045354
"2021-09-27 05:00:00";43234.1849294127;49130.6922101816;40829.6692762765;48199.9515572655
"2021-10-04 05:00:00";48208.9076325084;56401.3042407744;47045.0037471323;54771.5791838546
"2021-10-11 05:00:00";54734.124840616;62757.1297029724;54370.9732279075;61553.6173846995
"2021-10-18 05:00:00";61548.8034342065;66930.3872709899;59643.3453781125;60930.8364421796
"2021-10-25 05:00:00";60893.927575725;63729.325708052;58206.9178554768;61318.957766606
"2021-11-01 05:00:00";61320.4494915952;64242.7948907842;59695.1830931488;63326.9890280992
"2021-11-08 05:00:00";63344.0672220101;68789.6259389221;62333.913107848;65466.8410240344
"2021-11-15 05:00:00";65521.2893420962;66281.5697112403;55705.1806847159;58730.4766386507
"2021-11-22 05:00:00";58706.8493839442;59367.9679943132;53569.7639630968;57248.458375824
"2021-11-29 05:00:00";57291.904734501;59113.4009013998;42874.6168583905;49368.8470992255
"2021-12-06 05:00:00";49413.4790992129;51934.7818955124;46942.3478207253;50098.3351363893
"2021-12-13 05:00:00";50114.7409911263;50204.9982632709;45598.4426124471;46707.0148769996
"2021-12-20 05:00:00";46707.0644512279;51814.0285054983;45579.8101425366;50809.5150128895
"2021-12-27 05:00:00";50802.6089327853;51956.3263547044;45819.9545532818;47345.220564253
"2022-01-03 05:00:00";47343.543765149;47510.7261749285;40672.2754483568;41911.6015363357
"2022-01-10 05:00:00";41910.2308272178;44278.4232566127;39796.571708349;43113.8801137778
"2022-01-17 05:00:00";43118.1201015099;43413.0239423642;34349.2491949516;36276.8046943699
"2022-01-24 05:00:00";36275.7329481249;38825.4086928912;33184.0595656615;37917.60273361
"2022-01-31 05:00:00";37920.2809909723;42500.7869325403;36375.5373396971;42412.4342359174
"2022-02-07 05:00:00";42406.7813264058;45661.1731433747;41748.1553115415;42197.5153405276
"2022-02-14 05:00:00";42157.3991531626;44667.2169798202;38112.813944195;38431.3781154647
"2022-02-21 05:00:00";38423.2098719156;40005.3487264337;34459.2177282867;37709.7837534329
"2022-02-28 05:00:00";37706.0012666457;45077.5769494305;37518.2146036468;38419.9833773926
"2022-03-07 05:00:00";38429.3027830169;42465.6729111805;37260.2017138385;37849.6627995273
"2022-03-14 05:00:00";37846.3164396237;42316.5544604012;37680.7344675775;41247.8234468342
"2022-03-21 05:00:00";41246.1328484777;46827.5461945489;40668.0416965467;46820.4934636771
"2022-03-28 05:00:00";46821.8502469343;48086.8367491568;44403.1410093413;46453.5670763172
"2022-04-04 05:00:00";46445.2716196297;47106.1397405311;42021.2068019349;42207.670963734
"2022-04-11 05:00:00";42201.0382303314;42424.5910371138;39373.0583284502;39716.9542258357
"2022-04-18 05:00:00";39721.2029153003;42893.5802043813;38696.1915182274;39469.293555834
"2022-04-25 05:00:00";39472.607372297;40713.8895679717;37585.7873728754;38469.0939025425
"2022-05-02 05:00:00";38472.1871454262;39902.9502136511;33878.9645692059;34059.2642505879
"2022-05-09 05:00:00";34060.0154816197;34222.0733234167;26350.4901742248;31305.1125686764
"2022-05-16 05:00:00";31304.374144248;31305.3425986839;28708.9550418266;30323.7218952694
"2022-05-23 05:00:00";30309.3964800086;30590.5864837253;28261.9057088448;29445.9576239208
"2022-05-30 05:00:00";29443.3657109831;32249.8639341789;29303.571633074;29906.6617477915
"2022-06-06 05:00:00";29910.2837235964;31693.2901114808;26762.6490379039;26762.6490379039
"2022-06-13 05:00:00";26737.5776601486;26795.5898175946;17708.6237125896;20553.2718217472
"2022-06-20 05:00:00";20553.3702544391;21783.7247658329;19689.1695110104;21027.2953088067
"2022-06-27 05:00:00";21028.2382267284;21478.0893638064;18729.6562279337;19297.0760827928
"2022-07-04 05:00:00";19297.3141855828;22314.9405374086;19063.0661953686;20860.4493930623
"2022-07-11 05:00:00";20856.352967685;21600.6401193599;18999.953131779;20779.3445398509
"2022-07-18 05:00:00";20781.9115039967;24196.8192139777;20781.9115039967;22609.164770669
"2022-07-25 05:00:00";22607.1555467717;24572.5794217469;20776.8160824806;23336.8956049843
"2022-08-01 05:00:00";23336.7180518604;23578.650444504;22485.7006555715;23175.8908490806
"2022-08-08 05:00:00";23179.5270499854;24974.9142088493;22771.520469829;24319.3339226
"2022-08-15 05:00:00";24318.3154830385;25135.5903960686;20856.7313355791;21534.1212308142
"2022-08-22 05:00:00";21531.4638488066;21804.9080080991;19616.8149844439;19616.8149844439
"2022-08-29 05:00:00";19615.1533628598;20542.644969648;19600.7850348256;19986.71383922
"2022-09-05 05:00:00";19988.7898184332;21770.5531906344;18644.4672270585;21769.2563395567
"2022-09-12 05:00:00";21770.1481330587;22673.8197662856;19387.4913478311;19419.506190767
"2022-09-19 05:00:00";19418.5714215096;19674.6303314785;18290.315188225;18802.0979756765
"2022-09-26 05:00:00";18803.9006328979;20338.4554611365;18553.2973576077;19044.1072723711
"2022-10-03 05:00:00";19044.0678498115;20408.3918398816;19025.2262854468;19446.4261941327
"2022-10-10 05:00:00";19446.4162251338;19889.1462709754;18319.8226296141;19268.0928008619
"2022-10-17 05:00:00";19268.5621023075;19666.9950059677;18770.9700605115;19567.0073980529
"2022-10-24 05:00:00";19567.7695803849;20988.3944704236;19206.3243067081;20635.6037476843
"2022-10-31 05:00:00";20633.6960710953;21446.8860966908;20086.2409033906;20926.4859738215
"2022-11-07 05:00:00";20924.6204840491;21053.2461495293;15682.6928427807;16353.3657171761
"2022-11-14 05:00:00";16352.0285634204;17109.323354055;15872.9416126748;16291.8324676929
"2022-11-21 05:00:00";16291.223799579;16771.4752431789;15599.0471753829;16444.6268345485
"2022-11-28 05:00:00";16440.2220878988;17197.4972534447;16054.5302153408;17130.4859472168
"2022-12-05 05:00:00";17128.8940804496;17378.1533102833;16750.5581344286;17104.1928057162
"2022-12-12 05:00:00";17102.5006494509;18318.530584361;16584.7013982805;16757.9774032466
"2022-12-19 05:00:00";16759.0409268239;17012.9847052964;16398.1362516753;16841.9870522838
"2022-12-26 05:00:00";16842.2493105753;16959.8464760475;16408.4751768261;16625.0805507091
"2023-01-02 05:00:00";16625.5103941178;17091.1444513033;16572.2288497449;17091.1444513033
"2023-01-09 05:00:00";17093.9924981225;21075.1418299576;17093.9924981225;20880.7992021821
"2023-01-16 05:00:00";20882.2238766183;23282.3477215567;20541.544548774;22720.4156286391
"2023-01-23 05:00:00";22721.0886719506;23919.8897614092;22406.0755024251;23774.5659233116
"2023-01-30 05:00:00";23774.6489666425;24167.210232202;22657.5821676256;22955.6660162974
"2023-02-06 05:00:00";22954.0219641729;23367.9592874059;21539.3928305144;21788.2039862606
"2023-02-13 05:00:00";21786.9992632743;25134.1173501961;21460.0885038644;24327.6416722827
"2023-02-20 05:00:00";24336.6233404821;25126.851685722;22861.5586648141;23561.2129109163
"2023-02-27 05:00:00";23561.4506815245;23880.6324628676;22198.9810093926;22435.5141969735
"2023-03-06 05:00:00";22436.8167758974;22584.2938087023;19628.2543094205;22163.949951915
"2023-03-13 05:00:00";22156.4066753221;28440.5612172583;21918.19993089;28038.6749467651
"2023-03-20 05:00:00";28041.6019174942;28803.3359206694;26759.9962331222;27994.3295142227
"2023-03-27 05:00:00";27994.0679232525;29159.9026178662;26606.6890011395;28199.3083837745
"2023-04-03 05:00:00";28183.0803582438;28739.2381106536;27276.7199488097;28333.0500476249
"2023-04-10 05:00:00";28336.0282374011;31005.6080444729;28189.2707713694;30315.3554561203
"2023-04-17 05:00:00";30317.1456974152;30470.3020147381;27169.5711204099;27591.3846319068
"2023-04-24 05:00:00";27591.7295218905;29995.8384911174;27070.8494995525;29268.8070431626
"2023-05-01 05:00:00";29227.1039819099;29820.1266220765;27680.7926396911;28454.9782855135
"2023-05-08 05:00:00";28450.4574779637;28663.2723318452;25878.428829536;26930.6378455643
"2023-05-15 05:00:00";26931.3846319054;27646.3481186699;26415.1014830457;26753.8256390547
"2023-05-22 05:00:00";26749.8932054031;28193.448532831;25890.5944753459;28085.6473607492
"2023-05-29 05:00:00";28075.5921411669;28432.0387169709;26574.6444212308;27119.0671931263
