time;open;high;low;close
"2023-06-05 05:00:00";27123.1099638092;27332.1809565185;25434.8671315473;25940.1680803434
"2023-06-12 05:00:00";25934.2855973595;26769.3945019205;24797.1678486154;26336.213003281
"2023-06-19 05:00:00";26335.4423696201;31389.5381281357;26312.8318076296;30480.2616057375
"2023-06-26 05:00:00";30480.523973069;31256.8626995544;29600.2759394191;30620.7702634481
"2023-07-03 05:00:00";30624.5163112716;31460.053612688;29777.2844100844;30171.2335717583
"2023-07-10 05:00:00";30172.4229553721;31814.5148120678;29966.3871365008;30249.1328102967
"2023-07-17 05:00:00";30249.626617143;30336.4001335;29556.428372971;30084.5392407563
"2023-07-24 05:00:00";30081.6616445789;30093.3942473004;28934.2941602457;29275.307946897
"2023-07-31 05:00:00";29278.3140543721;29987.9971121967;28657.0238197426;29041.8561709403
"2023-08-07 05:00:00";29038.5128459431;30176.7962374838;28724.1405310678;29282.9143793982
"2023-08-14 05:00:00";29283.262942771;29660.2543392724;25409.1116027686;26189.5846686604
"2023-08-21 05:00:00";26188.6906508187;26786.8976054909;25520.728490709;26089.6934716635
"2023-08-28 05:00:00";26089.6149228858;28089.3380271543;25362.6091281569;25969.5673526316
"2023-09-04 05:00:00";25968.1701334655;26414.005974773;25404.3596799132;25832.2262469114
"2023-09-11 05:00:00";25831.7155007322;26840.4979252215;24930.2974941684;26534.18751685
"2023-09-18 05:00:00";26532.9947937991;27488.7638021952;26221.050004588;26256.8257867445
"2023-09-25 05:00:00";26253.7752994376;28047.2377100269;26011.4696157754;27983.7503817847
"2023-10-02 05:00:00";27976.7991520291;28494.4596384314;27215.5524462077;27935.0895806612
"2023-10-09 05:00:00";27934.4721623395;27989.4709019697;26558.320783999;27159.6529187802
"2023-10-16 05:00:00";27162.6282288816;30287.4816486504;27130.4734781668;29993.896524372
"2023-10-23 05:00:00";30140.6848629718;35150.4334987547;30097.8287422783;34538.4820881103
"2023-10-30 05:00:00";34531.7413739892;35919.8436017766;34083.3094592027;35049.3559240236
"2023-11-06 05:00:00";35044.7899191289;37926.2567969959;34545.8150953191;37054.5201429095
"2023-11-13 05:00:00";37070.3058713039;37964.8928323147;34948.5002761446;37386.547774872
"2023-11-20 05:00:00";37374.0746847021;38415.3381982376;35670.9718775193;37479.1222936619
"2023-11-27 05:00:00";37454.1919552581;40135.6048969089;36750.127104535;39978.3918165449
"2023-12-04 05:00:00";39978.6286477951;44705.5150094178;39978.6286477951;43779.6972879957
"2023-12-11 05:00:00";43792.0178583651;43808.3730556685;40234.5783345331;41364.665918237
"2023-12-18 05:00:00";41348.2020891569;44367.9557717841;40530.2585192877;43016.1176211831
"2023-12-25 05:00:00";43010.5729205333;43804.7814175761;41424.0606411494;42265.185654866
"2024-01-01 05:00:00";42280.2352761923;45899.7063545898;40813.5348681668;43943.0972289695
"2024-01-08 05:00:00";43948.7069553091;48969.3713995297;41724.6137245906;41796.2696064245
"2024-01-15 05:00:00";41715.0665274581;43566.2749235186;40297.4578577579;41545.7835143902
"2024-01-22 05:00:00";41553.6526912489;42797.1773592875;38521.8938882205;42035.5943721701
"2024-01-29 05:00:00";42030.9153796232;43838.9468441061;41818.3310863757;42583.5829201294
"2024-02-05 05:00:00";42577.6229811484;48535.9359097846;42264.8172969015;48293.916750573
"2024-02-12 05:00:00";48296.3851963696;52820.0669345775;47745.760261073;52122.5454555893
"2024-02-19 05:00:00";52134.8122142975;52945.0525658512;50561.7758617907;51733.2366017007
"2024-02-26 05:00:00";51730.5397930603;63913.1318135774;50931.0316078668;63167.3703575333
"2024-03-04 05:00:00";63137.0046815427;70083.0516244158;59323.9089421326;69019.7863638058
"2024-03-11 05:00:00";69020.5497746578;73750.07385038;64545.3181028634;68390.6228032209
"2024-03-18 05:00:00";68371.3072649579;68897.1344141915;60807.785959948;67234.1723529876
"2024-03-25 05:00:00";67234.0975756782;71727.6837626186;66414.8322302473;71333.6479258644
"2024-04-01 05:00:00";71333.4847168797;71342.0914544441;64559.8999476563;69362.5512776015
"2024-04-08 05:00:00";69362.5540045166;72715.3596085505;60919.10616167;65738.723886878
"2024-04-15 05:00:00";65739.6445392053;66878.6469049673;59651.3902645616;64926.643211728
"2024-04-22 05:00:00";64935.6331696056;67233.9570363906;62424.7206816789;63113.2316825626
"2024-04-29 05:00:00";63106.3642006694;64703.332363219;56555.2940546252;64031.1328085695
"2024-05-06 05:00:00";64038.3135554184;65494.9017248;60208.7815474421;61448.3946717975
"2024-05-13 05:00:00";61451.2185129853;67694.2987797957;60769.8406689419;66278.3700820502
"2024-05-20 05:00:00";66278.7446711611;71946.462688481;66086.1741180514;68518.089965076
"2024-05-27 05:00:00";68512.1802655161;70597.8795113327;66633.4183418303;67751.6025754618
"2024-06-03 05:00:00";67753.8954139676;71907.8489829092;67589.8364154256;69647.9930028748
"2024-06-10 05:00:00";69644.3127359651;70146.068326324;65056.8930142447;66639.0465356994
"2024-06-17 05:00:00";66636.5154989442;67188.3174738561;62785.5293236621;63180.7982064002
"2024-06-24 05:00:00";63173.3527128475;63292.5271566001;58601.7000722967;62678.292079457
"2024-07-01 05:00:00";62673.6063386528;63777.227541783;53717.3754334207;55849.1106386094
"2024-07-08 05:00:00";55849.5737694153;61329.5291439691;54321.0190639668;60787.7923701369
"2024-07-15 05:00:00";60815.4578978154;68372.9051655897;60704.9291986666;68154.522905866
"2024-07-22 05:00:00";68152.9761329417;69398.5113084796;63473.4732846473;68255.8657690205
"2024-07-29 05:00:00";68259.0549329203;69987.5422080099;57210.8033286504;58116.9769610403
"2024-08-05 05:00:00";58110.2984557763;62673.7639765565;49121.2373775943;58719.483169327
"2024-08-12 05:00:00";58719.3952192515;61687.756592205;56161.5928697264;58483.9649819015
"2024-08-19 05:00:00";58480.7127277463;64996.4201037902;57864.7095096926;64333.5441834656
"2024-08-26 05:00:00";64342.2254421225;64489.7063803201;57217.8238628753;57325.4876891906
"2024-09-02 05:00:00";57326.967287785;59815.056946191;52598.6996623841;54841.5663542288
"2024-09-09 05:00:00";54851.8873519906;60656.7211280316;54598.4337284331;59182.8353338828
"2024-09-16 05:00:00";59185.22685956;64119.530359621;57501.3391727673;63648.7098902519
"2024-09-23 05:00:00";63643.1020803622;66480.6947101072;62628.0786641199;65635.3081461486
"2024-09-30 05:00:00";65634.6601298628;65635.052877058;59878.8034256844;62818.9544761374
"2024-10-07 05:00:00";62819.1093330048;64443.7064117964;58895.2078078197;62851.3749169602
"2024-10-14 05:00:00";62848.3994880925;69359.0070607416;62442.1539998429;69001.7066212849
"2024-10-21 05:00:00";69002.0001468977;69462.7367822244;65188.0352924195;67929.298795622
"2024-10-28 05:00:00";67922.6742726804;73577.2096582116;67482.5254366951;68741.1154919735
"2024-11-04 05:00:00";68742.1346678016;81474.4238878783;66803.649995796;80474.185602194
"2024-11-11 05:00:00";80471.4131920498;93434.3553403447;80283.2476219227;89845.8512088281
"2024-11-18 05:00:00";89843.7154789328;99655.5010786335;89393.5905739655;98013.8209078789
"2024-11-25 05:00:00";98033.4427003163;98935.0318069042;90770.8150406524;97279.7929223558
"2024-12-02 05:00:00";97276.0101170567;103900.4721472336;91998.781701436;101236.0131403532
"2024-12-09 05:00:00";101237.0615213342;105047.5418842031;94321.25879199;104298.6957979219
"2024-12-16 05:00:00";104293.5764606967;108268.4470804361;92175.1804504625;95104.9343710597
"2024-12-23 05:00:00";95099.3919548289;99884.57216657;92403.1313832204;93530.2284378695
"2024-12-30 05:00:00";93527.1974974745;98956.9170426074;91317.1354600511;98314.9594436372
"2025-01-06 05:00:00";98314.9569580597;102712.4856972717;91220.8422602806;94488.4410616268
"2025-01-13 05:00:00";94488.8921736814;106299.7985288669;89260.1001886086;101089.6064983213
"2025-01-20 05:00:00";101083.753465156;109114.8848340883;99471.3589402134;102682.4970331773
"2025-01-27 05:00:00";102680.3035909706;106418.7666945693;96216.0778118839;97688.9793048889
"2025-02-03 05:00:00";97681.1032562505;102514.1746801738;91242.8926025841;96500.0947902698
"2025-02-10 05:00:00";96499.4620926385;98819.468963167;94101.2033270052;96175.0320402609
"2025-02-17 05:00:00";96179.0045652885;99497.9667673705;93388.8322011121;96273.9197465574
"2025-02-24 05:00:00";96277.9637903407;96503.4544271125;78248.9161015268;94248.3505251674
"2025-03-03 05:00:00";94248.4214971805;94429.7478237328;80052.4869785059;80601.0413114199
"2025-03-10 05:00:00";80597.1497836398;85263.2898568471;76624.2524898268;82579.6908921864
"2025-03-17 05:00:00";82576.3342781945;87443.2677695942;81179.9901632846;86054.3718630108
"2025-03-24 05:00:00";86070.9281111585;88758.7296368342;81573.2470657633;82334.5226969202
"2025-03-31 05:00:00";82336.0593457524;88466.9569585923;77097.7409017465;78214.4808171041
"2025-04-07 05:00:00";78221.3331336497;86015.1858492691;74436.6791009452;83684.9790281051
"2025-04-14 05:00:00";83694.5232732834;86429.3484786375;83100.617930143;85174.3016291611
"2025-04-21 05:00:00";85171.5427512029;95768.3924669559;85143.8377085489;93754.846738124
"2025-04-28 05:00:00";93755.3036053418;97905.9008135535;92860.808221058;94315.9748890489
"2025-05-05 05:00:00";94319.5628677338;104961.7643910694;93399.8589076862;104106.3555262647
"2025-05-12 05:00:00";104106.9627066245;106597.1681343974;100814.4025733277;106446.0105544264
"2025-05-19 05:00:00";106430.5327027544;111970.1681100799;102112.6854600726;109035.3870327308
"2025-05-26 05:00:00";109023.7783282035;110744.2078440242;103136.1134508832;105652.0985625249
"2025-06-02 05:00:00";105649.8096322775;106813.5790312666;100436.8859125027;105793.6502275275
"2025-06-09 05:00:00";105793.0211746812;110561.4198181253;102822.0258041497;105552.026954677
"2025-06-16 05:00:00";105555.5929058888;108915.3756027871;98286.2059304254;100987.1395190547
"2025-06-23 05:00:00";100987.4731095285;108526.3070408953;99705.747002114;108385.5700884473
"2025-06-30 05:00:00";108383.4411795601;110541.4615672827;105157.39559599;109232.0697345571
"2025-07-07 05:00:00";109235.3279895239;119449.5719060133;107499.5564675773;119116.1175492467
"2025-07-14 05:00:00";119115.7875096413;123091.612801368;115765.6867265961;117300.7857402877
"2025-07-21 05:00:00";117306.4669821287;120269.9664728629;114759.8232269854;119448.4903295397
"2025-07-28 05:00:00";119457.5219509422;119819.7899002832;111943.8044176949;114217.6729691043
"2025-08-04 05:00:00";114223.9232850182;119320.7140863204;112701.1104004737;119306.7614218206
"2025-08-11 05:00:00";119306.8107653633;124457.1168703663;116864.5734769494;117453.0627100409
"2025-08-18 05:00:00";117453.9063856625;117614.1711543471;111060.5448753841;113458.4322355685
"2025-08-25 05:00:00";113456.8946803248;113637.8418561592;107444.443172336;108236.7098959993
"2025-09-01 05:00:00";108228.7470722929;113357.4891909155;107271.183408171;111167.6195183032
"2025-09-08 05:00:00";111163.0177975035;116769.3825253667;110630.6055984677;115407.6544474289
"2025-09-15 05:00:00";115399.6311438108;117911.7883364225;114461.0631650978;115306.097161289
"2025-09-22 05:00:00";115309.222122245;115431.3090850724;108713.3961781124;112122.6391506148
"2025-09-29 05:00:00";112117.8787939277;125559.2087470555;111589.9506804949;123513.4737139671
"2025-10-06 05:00:00";123510.4499683878;126198.0696034339;104582.41134788;115169.7639246981
"2025-10-13 05:00:00";115161.6758253635;116020.4864826768;103598.4288513281;108666.7115263266
"2025-10-20 05:00:00";108667.4438091444;115260.9051483669;106777.9966071258;114472.443362309
"2025-10-27 05:00:00";114479.8489470502;116273.3142651981;106376.6887666825;110639.6263110151
"2025-11-03 05:00:00";110646.9053337829;110764.9165455239;98962.0641022048;104719.6388959132
"2025-11-10 05:00:00";104723.7707145405;107428.2598485873;92971.1655619193;94177.0744808859
"2025-11-17 05:00:00";94180.8763285011;95928.3695793783;80659.8124264662;86805.008075552
"2025-11-24 05:00:00";86798.7713103499;92969.0865280849;85272.1961643306;90394.308947817
"2025-12-01 05:00:00";90389.1097979024;94060.7728133688;83862.2485209906;90405.6385108749
"2025-12-08 05:00:00";90424.5857615628;94601.5708108212;87634.9370678687;88175.177409907
"2025-12-15 05:00:00";88171.0803769972;90264.5691392445;84436.3154612838;88621.7504151012
"2025-12-22 05:00:00";88621.4013531003;90501.9307541589;86411.799089194;87835.8335114813
"2025-12-29 05:00:00";87835.7913322809;91712.5829741808;86717.915377135;91413.4925215554
"2026-01-05 05:00:00";91414.6286470278;94762.0680922804;89233.8762529428;90827.4598333957
"2026-01-12 05:00:00";90825.8560825378;97860.6038029774;90055.0223259572;93634.431951609
"2026-01-19 05:00:00";93655.6728346166;93660.8291578172;86003.7103774685;86572.2153402734
"2026-01-26 05:00:00";86566.5229094044;90439.288582632;75698.9012063642;76974.4429081583
"2026-02-02 05:00:00";76968.872934252;79258.6084813787;60074.2030063429;70264.7247194654
"2026-02-09 05:00:00";70243.3307083525;71369.9722189747;65092.1080095947;68788.1898191779
"2026-02-16 05:00:00";68782.3993301329;70067.2360207877;65637.4266190222;67659.3914303005
"2026-02-23 05:00:00";67668.4285415465;69953.5338360935;62553.1875018108;65738.0982073395
"2026-03-02 05:00:00";65734.0812948385;74051.8082070944;65303.1357932196;65969.7808015529
"2026-03-09 05:00:00";65969.5834912067;73927.3249086237;65858.0111034878;72789.9172674119
"2026-03-16 05:00:00";72798.1698747055;75988.4005176101;67372.8737891374;67845.2139798662
"2026-03-23 05:00:00";67842.9965276703;71985.7443400234;64971.706029593;65954.9192574161
"2026-03-30 05:00:00";65958.3495258423;69230.3563256967;65725.2568497465;68981.9007921881
"2026-04-06 05:00:00";68982.913469167;73784.232471385;67740.509420096;70753.4083340869
"2026-04-13 05:00:00";70757.6192235042;78320.6779221093;70588.5228261962;73856.3547881724
"2026-04-20 05:00:00";73854.2464044025;79468.0022571901;73775.570201968;78657.5394229309
"2026-04-27 05:00:00";78661.0146171057;79488.1719641042;74958.5697831686;78538.2233852504
"2026-05-04 05:00:00";78540.2903592991;82792.2106473945;78217.9607239472;82138.9313945505
"2026-05-11 05:00:00";82139.0437718544;82326.2327937984;76783.4105513202;77429.3551985341
"2026-05-18 05:00:00";77426.3420503537;78100.5592837523;74255.2326017902;76981.127265297
"2026-05-25 05:00:00";76981.125907291;77990.8665675969;72435.6234578528;73579.6878524867
"2026-06-01 05:00:00";73580.2078337441;73969.5691731288;59108.9172968762;63239.519600145
"2026-06-08 05:00:00";63304.092418233;64185.1778773603;62389.006607421;63284.69708258339